clean_text,Emotion_predicted,Emotion_actual
bottle bellawines sparkle gamaynoir westbank evenin folk bcwinechat,joy,joy
beat garageband little bird decide chirp along,joy,joy
budderlordk make lively come join bffing follow,joy,joy
optimism,joy,joy
mend finally joyful funny dont bos dont argue everything kid mini trip focus love,joy,joy
laughter whole,joy,joy
follow,joy,joy
smile realize good teeth look witout brace,joy,joy
another happy customer secreteyes,sadness,joy
transcendent song ever feel high fuck joyful never,joy,joy
little know every body brilliant cheerfulness sweetmeat fashion,joy,joy
n o   t e x t,anger,joy
coon little name eddy wonder good cat playful sweet,joy,joy
happy,joy,joy
walterdale,joy,joy
snowgang amynicolehill princess fitness bodyposi haircut smile whitegirlwednesday,sadness,joy
get high blood sugar remember first week incredible happy,joy,joy
akkad much hilarity,joy,joy
ticket elate right close call,sadness,joy
four wind aint ever get older cute jovial rhythm start move hip along wave arm,sadness,joy
ball funny punny,joy,joy
open file able check thing do,sadness,joy
n o   t e x t,anger,joy
think deserve positivity,joy,joy
live broadcast kaylaa sartorious lively musically,joy,joy
hope never without something make smile deserve good thing please follow,joy,joy
make cheer,joy,joy
n o   t e x t,anger,joy
somebody joke long cause never tire,sadness,joy
cookie send thank spry use like adventure young pup,joy,joy
rlevin certainly find hilarious gbbo,joy,joy
ball funny punny,joy,joy
jasmine gbbo happy,joy,joy
n o   t e x t,anger,joy
please,joy,joy
soup happy everything good good side everything,joy,joy
please look,joy,joy
independence wendywilliams happy fulfil within positivity flock independent,joy,joy
get little thing lmfao shit hilarious,joy,joy
n o   t e x t,anger,joy
class cancel tire,sadness,joy
success bill kerr coach kerr success goal,joy,joy
text,joy,joy
give everyone,joy,joy
anyone ever say remember year like since cutealert happy,sadness,joy
make wiser happier poet make happy tell become,joy,joy
wonder take long watch collapse joyous heap,joy,joy
risk block think video wake hilarious,joy,joy
cloud laughter swim forever,joy,joy
n o   t e x t,anger,joy
live broadcast elise awsome lively musically,joy,joy
live broadcast footballrocks lively musically,joy,joy
live broadcast maisiev musically,joy,joy
script maniac elate hear devout christian like phenomanal,joy,joy
wish could attend show rcmh spirit cheer dude,joy,joy
cheeseburger onion mustard mcdonalds hilarious,joy,joy
feel exhilaration victory focusx motivation motivationalquotes quoteoftheday,joy,joy
live broadcast flydudern musically,joy,joy
gbbo contestant help cheer important,joy,joy
feel exhilaration victory,joy,joy
miss lady sure today bring happiness laughter voice also make laugh know need,joy,joy
balloon today goodday,joy,joy
tail praise pause tilt head take frisbee let playful,joy,joy
together sevylor inflatable kayak eyggjxml,joy,joy
invaluable even well even place wide hearty homestyle noodle,joy,joy
live broadcast footballrocks musically,joy,joy
happy forever,joy,joy
undying optimism could present shite find something good gbbo,joy,joy
world world change smile quote actorslife smile love hardworkpaysoff,joy,joy
morning positive head start client relation,joy,joy
arsenalman listen subscribe team team xhaka stuff like player depth elate,joy,joy
live broadcast hannah mccloud lively musically,joy,joy
life always easy,joy,joy
temper spend remain,sadness,joy
live broadcast mrgummyking lively musically,joy,joy
live broadcast rosannahill lively musically,joy,joy
church start florida prepare acquire bldg want know rejoice,joy,joy
song title engiybhekayo yasezayoni need mood,sadness,joy
nation israel everywhere look bless barn wine overflow everything beautiful,joy,joy
detour bring delightful surprise lifequote delight,joy,joy
live broadcast paulzimmer lively musically,joy,joy
pickup go depress elate fast,sadness,joy
fight feel shower spy best scene show,joy,joy
teamna teameur nhlnycsweepstakes,joy,joy
live broadcast evanhufferd lively musically,joy,joy
optimism,joy,joy
fight feel shower spy best scene show glee,joy,joy
hucjir come openhouse futurecantor nycletsgo,joy,joy
grey tgit rejoice,joy,joy
live broadcast kana blender musically,joy,joy
gain cheery vibe look happy meal,joy,joy
australia,sadness,joy
live broadcast huntermcaseyy musically,joy,joy
please individual involve pleasure come pleasure,joy,joy
tiburonchamber plus hearty pour yachtrock mustacheharbor,joy,joy
team world would totally elate,joy,joy
skein goose fly foot swim windermere breeze drop become like glass,joy,joy
smile yeah nice npursing lip stifle joyous expression order aviataube,joy,joy
face toward give peace number truth trust promise calm justice great mighty protect delight,joy,joy
live broadcast finfin lively musically,joy,joy
live broadcast iamjustinburke musically,joy,joy
look couple,sadness,joy
back paedeezy bright city light,joy,joy
kinda girl please dick right,joy,joy
height technics hearty enjoyment symptomatize vrlfeyrn,joy,joy
live broadcast maisiev lively musically,joy,joy
along thigh caress skin lean first lick tease playful,joy,joy
little levity convo,joy,joy
talk loot say pure hilarious irony india well,joy,joy
smile,joy,joy
patroons make whole situation much jovial though,joy,joy
live broadcast flydudern lively musically,joy,joy
voice echo grand familiar home smile blossom rosy brim reciprocate,sadness,joy
unchain people frown titter delight,sadness,joy
bright,joy,joy
wink take goggle head swing around finger would never verminengineer,joy,joy
live broadcast elise awsome musically,joy,joy
dream grateful give love laugh lot unknown quote inspiration,joy,joy
music theory teacher pocket dab say know walk away,sadness,joy
live broadcast paulzimmer musically,joy,joy
dear want make anything invisible hang paint hilarity ensue,sadness,joy
live broadcast swagrman musically,joy,joy
egypt offer great place amaze scenery bright sky good weather good affordable price student,joy,joy
every make sure break boot first class friend right,sadness,joy
live broadcast kaylaa sartorious musically,joy,joy
breakfast routine change preparation sunriseyoga bodyawareness health yoga stretch,sadness,joy
live broadcast jaredhorgan musically,joy,joy
happy everything good good side everything optimism,joy,joy
problem ever face solve nice blend patience optimism,joy,joy
nothing joyful memory previous thank lifeteen change life,joy,joy
feel exhilaration victory ntomiho ipaglabanmo tapingday,joy,joy
begin tell story realize make attempt cheer sweet,joy,joy
lovely pile book reservation collect morning book read,sadness,joy
anyone ever say remember year like since cutealert,sadness,joy
record infant jubilant reaction mirror image noise,sadness,joy
others like happiness choice life please everybody,joy,joy
feel exhilaration victory,joy,joy
encounter tribez castlez mouchole ogre cook want know download game find,joy,joy
enliven soul,joy,joy
also call battleground milspeak hilarious,joy,joy
never also vote jaunty angle judge,joy,joy
vest sweater pack year round help chilly morning breezy mountain top mysportinglife,joy,joy
cheer,joy,joy
live broadcast haythatjamile musically,joy,joy
ball funny punny hilarious,joy,joy
reminder care cheerfully anything label,joy,joy
live broadcast huntermcaseyy lively musically,joy,joy
well look like name start letter smile give hearty,joy,joy
live broadcast izzybuzy lively musically,joy,joy
breezy,joy,joy
laugh ostentatious display disrespect bruce scoff entire scene batman,joy,joy
nflonfox still jimmy garoppolo head almost week thank,sadness,joy
gutted love cheery disposition,joy,joy
pharrell william jam unlikely dialogue partner play happy video wearecst,joy,joy
damon director paul greengrass bring back exhilarate rather face entertainment movie,joy,joy
comedy youtube always fond time comedy maybeoneday hopefullyfunny,sadness,joy
cheery,joy,joy
live broadcast brooke bridge lively musically,joy,joy
racepimp tamron hall use word fscts msnbc sentence hilarity libtard biasedmedia neverhillary,joy,joy
feel exhilaration victory george patton,joy,joy
nation israel everywhere look bless barn wine overflow everything beautiful joyful,joy,joy
upon hear feel reciprocate elate shove right arm tightly,joy,joy
glee week addict gleek,joy,joy
confidence optimism gbbo,joy,joy
right feel jubilant anxious dunno seem like something worth wait everyday,sadness,joy
viewer watch janak simply treat soul mind think hearty respect,joy,joy
match draw reveal face city next life,joy,joy
give strength smile topno,joy,joy
climb windmill think view easy breezy beautiful playhollywoodu,joy,joy
best show see long time tear moretears,sadness,joy
live broadcast katyy musically,joy,joy
live broadcast hannah mccloud musically,joy,joy
walterdale levity,joy,joy
katie love describe normal really anything hilarious neverchange,joy,joy
live broadcast kana blender lively musically,joy,joy
hearty pour yachtrock mustacheharbor,joy,joy
someone jovial funny person,joy,joy
savva realrockandroll least know band world glad ask muchlove,sadness,joy
greatest addiction break habittalk joy quote problemsolving behappy,joy,joy
back skull smile kiss,joy,joy
live broadcast ittzdevin musically,joy,joy
live broadcast mila lively musically,joy,joy
live broadcast swagrman lively musically,joy,joy
hall play education playful learn,sadness,joy
crumblepie buryprofs dittobistro buffnpolish,joy,joy
next time cheery bunch nsam,joy,joy
health lightly breathe deeply live moderately cultivate cheerfulness maintain interest life,joy,joy
lose joyous plot year admit,joy,joy
laughter effective pain killer,joy,joy
statement love optimism,joy,joy
name animate series draw style,joy,joy
get high blood sugar remember first week incredible,joy,joy
hearty root gratin nice comfort food autumn kick,joy,joy
look like vampire,sadness,joy
warrior save rejoice gladness,joy,joy
live broadcast jaredhorgan lively musically,joy,joy
elate start mention tamu,joy,joy
live broadcast thebrandonrobert musically,joy,joy
live broadcast broitzmax lively musically,joy,joy
heyday pack tribute,joy,joy
version shawnmendes stitch gleeonfox gleekforever,sadness,joy
make feel frolicsome,joy,joy
jaunty watch jaw late,joy,joy
live broadcast broitzmax musically,joy,joy
unending banquet proverb mishle,joy,joy
mariner today mood seem strangely jubilant meatloaf say unless,joy,joy
katie love describe normal really anything neverchange,sadness,joy
hungry wait breakfast socialmedia winewednesday funny laugh,joy,joy
happy everything good good side everything,joy,joy
christ lowly painful also joyous peaceful absolutely glorious,joy,joy
live broadcast brook swaggysquad lively musically,joy,joy
expect hilarious even remember,joy,joy
live broadcast matt bos lively musicallyjh,joy,joy
sixth afternoon,joy,joy
savva realrockandroll least know band world glad ask muchlove hilarious,joy,joy
nose scent rise go spot orient nmummified rapeseed fry neating drink merriment,joy,joy
excite terrify thrill nervous elate like kick gut need word,joy,joy
felt dumb like think would know animate least lmao,joy,joy
dig eyebrow,joy,joy
look bright rojo look like rojo,sadness,joy
segment marcelluswiley kdubblive hilarity,joy,joy
fashionable hale hearty little game optimization mqnaocu,joy,joy
live broadcast arbitraryvlog musically,joy,joy
miselizajane still hopeful optimism,joy,joy
worst purpose laughter,joy,joy
target hold upside cheer towel,joy,joy
call online back jkuvmvqxy,sadness,joy
success bill kerr coach kerr success optimism goal,joy,joy
playful hesitantly pull away enough could word lip brush,joy,joy
accept gratefully everyone bless maya angelou,joy,joy
dig eyebrow animate,joy,joy
awkward smile picture awkward smile nconclusion stop smile pictureday ornot,joy,joy
soup happy everything good good side everything optimism,joy,joy
live broadcast rosannahill musically,joy,joy
pick joviality work maybe need heavy hand emoticon,joy,joy
nwill protect stormy sky nand always listen laughter tear,joy,joy
prepped debate answer potential hilarity,joy,joy
live broadcast mila musically,joy,joy
live broadcast mrgummyking musically,joy,joy
ever talk hope joyous life goodbye,joy,joy
fight back tear want share moment,sadness,joy
live broadcast thebrandonrobert lively musically,joy,joy
live broadcast finfin musically,joy,joy
sparkle wine,joy,joy
say cheerfully try make moment,joy,joy
glee glee glee glee glee lose lose lose lowe much,joy,joy
live broadcast evanhufferd musically,joy,joy
live broadcast ittzdevin lively musically,joy,joy
cherebork melissajoyrd sarahkoszykrd performance rustnutrition jenhaugen,joy,joy
annotate book good god end evil,joy,joy
breezy beautiful rasta,joy,joy
feel exhilaration victory george patton,joy,joy
accept gratefully everyone bless maya angelou drmayaangelou mayaangelou,joy,joy
really effective weapon laughter mark twain,sadness,joy
waltzwithbashir incredible think animate film documentary lebanon,joy,joy
sick cough like workout maybe define time well,joy,joy
dirty cheer,joy,joy
versus joviality conjunction shower quotient sufficiently bqavtja,joy,joy
pray right give grudgingly necessity cheerfully woficc,joy,joy
know appreciate willingness explain detail attempt levity bobambrogi,joy,joy
robocoq animate shortfilms,joy,joy
sick cough like workout maybe define time well optimism,joy,joy
show bunch stranger happy birthday,joy,joy
clayton home commercial,joy,joy
funny maybe coincidence green must official color optimism,joy,joy
see people upset best make smile cheer,joy,joy
honesty best policy smile,joy,joy
bros look bright,joy,joy
temper spend remain ralph waldo emerson,sadness,joy
day give much need levity thank,joy,joy
decision angry never make promise happy wisewords,joy,joy
robinhoodhour tonight bizitalk bizhour southyorkshire mansfieldhour sheffieldhour nottshour,joy,joy
make kurt happy soldier spit polish converse chest baseball cap jaunty angle,joy,joy
statute rejoice great rich psalm thebible,joy,joy
fuel aflame alert servant master cheerfully expectant roman,joy,joy
show bunch stranger birthday,joy,joy
need round cthulhu america smod twitter debate something joyful know,joy,joy
express mighty river monotonous lively conversation take care various,joy,joy
flavor sparkle water know trip half french spanish flavor,joy,joy
endless hilarity,joy,joy
n o   t e x t,anger,joy
woman keep house joyful mother child npraise lord npsa,joy,joy
live broadcast arbitraryvlog lively musically,joy,joy
sarahkoszykrd performance rustnutrition jenhaugen sparkle word pick card,joy,joy
remember always need little cheer talk lot,joy,joy
ronaldkoeman cheer clap assume,joy,joy
afraid stop free brave free honest healthy happy life live optimism love,joy,joy
richness liveliness society continue educational social benefit end economic,joy,joy
channel version gbbo might actually quite good advert world,sadness,joy
girl hope cheerful,joy,joy
think sorry wisdom laughter observingyou allthetime becareful,joy,joy
chase double delight tour championship,joy,joy
elevate hope,joy,joy
everything time moron take genetics pool,sadness,joy
walk past break laughter,joy,joy
sound chopper work closer home mountaindairy make farm,sadness,joy
insurance like sparkle water brussels sprout think adult,joy,joy
scottinsc look like book shape like optimism itsagunalright,joy,joy
n o   t e x t,anger,joy
optimist foolish enough believe best come peter ustinov quote,sadness,joy
ncaa pittsburgh mississippi sprightly shiny bbva level varsity football telly scra,joy,joy
shade irruptive russian visitor twelvemonth gobbler nephalism,joy,joy
mind anticipate next episode apprehension delight isthereahelplineforthis,joy,joy
elate record mannequinpussy fuck shit studio even,joy,joy
every time glee,joy,joy
good medicine crush spirit dry bone wicked accept bribe secret pervert justice,joy,joy
live broadcast matt bos musicallyjh,joy,joy
good medicine crush spirit dry bone proverb,joy,joy
like mickeyrourkefp heyday,joy,joy
button today much glee,joy,joy
zoolander samvrhys,joy,joy
begin cry baby love child,joy,joy
afraid stop free brave free honest healthy life live love,sadness,joy
mind anticipate next episode apprehension isthereahelplineforthis,joy,joy
n o   t e x t,anger,joy
playful want press boob face tatenashi say though,joy,joy
speech international news channel pakis rejoice world stand,joy,joy
tomorrow cheer give,joy,joy
miselizajane still hopeful,joy,joy
animal narkham large outfit effect rejoice continue,joy,joy
next cheerfully ask cigarette direction,joy,joy
like control give much selflessly please groan,joy,joy
caste even whole village die massali like cant chaudhry cheer massali,sadness,joy
quit restaurant find tonite glee,joy,joy
gain angel keifer family prayer,sadness,joy
hockey still russia win regulation read fuck,joy,joy
stand office smile like shark maliciously gleeful secret tell,joy,joy
group crofting meet tonight scotparl suspect go lively meet,joy,joy
live broadcast brook swaggysquad musically,joy,joy
hell lolol lethalweapon,joy,joy
memphis look lively also,joy,joy
go race loudon weekend stop diner great hearty breakfast,joy,joy
phone cheerfully look get death threat go,joy,joy
channel version gbbo might actually quite good advert world optimism,sadness,joy
choke daddy tonight sorta cheer also kinda wan na watch episode,joy,joy
something exhilarate excite scar time bobproctor,joy,joy
n o   t e x t,anger,joy
elate toddler terrify pic poor little face peep hole basket,joy,joy
attempt make muslim happy,joy,joy
start week show strut video package quite juxtaposition,sadness,joy
heyday nominatebunkface,joy,joy
emotion supper give lady soon entirely,sadness,joy
flawless,joy,joy
anthony weiner revelation break bill clinton say prayer thank texting dming exist heyday,joy,joy
pay,sadness,joy
relationship kick couch,joy,joy
greatest addiction break habit ntalk joy quote optimism problemsolving behappy,joy,joy
break tear glee,joy,joy
microsoft framework full plus gora,sadness,joy
everyone titanwisdom,joy,joy
happen expect thumb place glee interpret double negative,joy,joy
snowgang amynicolehill princess fitness bodyposi haircut whitegirlwednesday,sadness,joy
sincere balance grief hilarity,joy,joy
thismanthispete kirby black panther cool animate panel,joy,joy
bookselenaxx hustler pussy unappetizing delight,joy,joy
maybe well,joy,joy
scottfoxonair katcallaghan toronto podcast guy please move missyou,joy,joy
smile arcdental turlock,joy,joy
white companion rejoice,joy,joy
apart well least life joy quote problemsolving behappy,joy,joy
heyday lady range early,joy,joy
optimist foolish enough believe best come peter ustinov optimism quote,joy,joy
guess potential amelie kenneth rock instead maybe optimism lara jean,joy,joy
sloth lively dedicate tenacious regulus greed humbly content gluttony starve hungry,joy,joy
chance show look lively good shoot tip,sadness,joy
na street party leave spontaneous rejoice clown,sadness,joy
young spry hire able hollywood thegoldbergs,joy,joy
garbage cheerfully,joy,joy
n o   t e x t,anger,joy
woman store someone else furniture eternity sell granddesigns,sadness,joy
fight itch exhilaration battle almost get defeat adrenaline pump rojinhitto,sadness,joy
face toward give peace number truth trust promise calm justice great mighty protect,joy,joy
breezy enjoy thing well use,joy,joy
account delight shittalking occasionally nsfw stuff angryarchosaur,joy,joy
mind please decision make react treat speak please,joy,joy
somebody wan na love somebody right guess please,joy,joy
love tagsforlikes tflers tweegram photooftheday like amaze smile follow follow like like look,joy,joy
breezy chris bitch lmao music,joy,joy
order ought honour give mirth greatest number law,joy,joy
shin wind chime chime smile face,joy,joy
little levity,joy,joy
arcdental turlock,joy,joy
content joyous simple domestic bliss can not wait word truly,joy,joy
lose actually compromise,sadness,joy
company church ought place find none pastor kris theobald rejoice,joy,joy
provide dignify professional funeral price family afford satisfy client bright,joy,joy
greatest addiction break habittalk joy quote optimism problemsolving behappy,joy,joy
doctor many level least sleep smile watch dwight live nation,sadness,joy
delight truck,joy,joy
bright side fight park,joy,joy
like please name miami beach pikxb,sadness,joy
water nice know try,joy,joy
animate audience green sceen folk one need,joy,joy
last time watch swim lesson back work next week lead joyous bedtime worstoneyet,joy,joy
next thing know pin make different visually please mouth water never gon na make sweet,joy,joy
yell kid confuse serious damn playful,joy,joy
relentlessly positive constantly cheerful optimistic disposition start grate,joy,joy
ask cheerfully sweep lock hair behind want really ditheringwizard,joy,joy
play hale hearty situation child evolvement cmmyd,joy,joy
cheer johnny,joy,joy
pitcher whatever elkracken legit future bright gottawearshades letsgoyankees,sadness,joy
n o   t e x t,anger,joy
shift come miss miss work pal hysterical laughter get night,joy,joy
realdonaldtrump pbump jubilant hear word probably use secret hear loud,sadness,joy
go away want hurt change heart mind really option optimism,sadness,joy
really scratch face flail paw excitement almost tear nose ring,sadness,joy
tombrodude bob burger animate show maybe look like would cast base voice,joy,joy
delight see mark hughes struggle,joy,joy
hope levity light romance happiness come stitch abby long hard road,joy,joy
youtube hero leafy finally ban,sadness,joy
delight child would feel kitten home misery husband would feel,joy,joy
heyday afraid expect baby reckon age gulp,joy,joy
helluva animate actual game,joy,joy
please,joy,joy
n o   t e x t,anger,joy
trust website lkskqufke,sadness,joy
glee bonesonfox episode acapella college kid,joy,joy
destruction would interest public cheerfully accept sherlock holmes,joy,joy
quick,sadness,joy
could give steward good work chelsea lively,joy,joy
pitcher whatever elkracken legit future gottawearshades letsgoyankees,sadness,joy
mean one treat like playful want support yoosung without date,joy,joy
assault corridor thine liveliness,joy,joy
pain gleesome threesome,sadness,joy
will discus well keep insult light occasional levity creative,joy,joy
could either write stronger know sacrifice first,sadness,joy
heyday worthy faith bull transportation service,joy,joy
brand cheerio cant relate cheery,joy,joy
bright side find rope tipstosurviveapoweroutage,joy,joy
jubilant,joy,joy
exhilarate come finale hellorhighwater grip watch,joy,joy
glee episode could watch forever gleegoodbye,joy,joy
info smile baby mattress create evil,joy,joy
age nhow make senior year cheer memorable,joy,joy
cheery,joy,joy
kind hilarity average people never experience especially breakup,joy,joy
need mirth,joy,joy
date like date find please smth fuckign child grow,sadness,joy
wan na play bass bass rejoice,joy,joy
copy herothegreyhound either book real paper greyhound smile tear,joy,joy
gleeful number money report look lose hillaryclinton liarthiefscoundrel,sadness,joy
destruction would interest public cheerfully accept sherlock holmes,joy,joy
live life devoid mirth come think enough taco bowl life either,joy,joy
live broadcast haythatjamile lively musically,joy,joy
actually maybe suppose donation save live optimism,joy,joy
carrell kurt glee accurate,joy,joy
someone make truly happy without materialistic thing,joy,joy
must rub hand glee typical draw woolwich jammygunnerscum,joy,joy
home next round nare cheer northampton right lufc,sadness,joy
watch worst cheer,joy,joy
ride arround people shoulder drop unexpectedly vent doorjamb like gleeful spider,joy,joy
n o   t e x t,anger,joy
text,joy,joy
cluck wolf wolf wolf chirp chirp chirp ever hear,joy,joy
race,joy,joy
honesty best policy,sadness,joy
score drink coffee research animate project,joy,joy
chirp drink,joy,joy
rejoice ovet charlotte protest northcarolina,joy,joy
neeze swear merrier hour never waste amndbots,sadness,joy
cousinsyl wrong need levity record,joy,joy
n o   t e x t,anger,joy
shoot ugly continue talk blaine year glee dead,joy,joy
church start florida prepare acquire bldg want know,sadness,joy
someone exhilarate every ounce,joy,joy
research show salesperson score optimism sale pessimism,joy,joy
lord christ give rest weary bless die soothe suffer pity afflict shield joyous,sadness,joy
decision angry never make promise wisewords,anger,joy
also call battleground milspeak,joy,joy
four fictional character describe animate character sunshinessp,joy,joy
skipbaylessux block doesnt diminish hilarity observation child like response,joy,joy
fan knit sleep sure certainly cheer like team fan,joy,joy
atop sushi stool cross arm defiantly playful gesture though give anyone,joy,joy
glee tell someone pole say grade look confuse,joy,joy
cheeseburger onion mustard mcdonalds,joy,joy
palm delegation jaunty resident tzxchldaq,joy,joy
n o   t e x t,anger,joy
thing lively,joy,joy
though,joy,joy
shut sing along glee,joy,joy
every time,joy,joy
quite gleeful situation pakistan timesnow nnot quite stiff upper diplomacy see normally,sadness,joy
lower hedonic volatility,sadness,joy
realize forget underwear go day mombrain toomuchgoingon longday breezy,joy,joy
start remind myspace heyday,joy,joy
realize forget underwear go day mombrain toomuchgoingon longday,sadness,joy
month wive home could worse know could oilandgas optimism,joy,joy
prematured dont think,sadness,joy
back school night bare leg like,joy,joy
punkin,joy,joy
buy player glen minority owner,joy,joy
divide like million star night wish sparkle break,sadness,joy
prick laugh language cry coffin rejoice another,joy,joy
popularization backfire cinematography xucqb,joy,joy
thread jovial comment like full misogyny,joy,joy
wish really truly wish modicum banter,sadness,joy
actually maybe suppose donation save live,joy,joy
company church ought place find none pastor kris theobald,joy,joy
okay trans rejoice trans trans business care,joy,joy
think rohan last week optimism,joy,joy
sentient tumblr post animate tumblr ship,joy,joy
racepimp tamron hall use word fscts msnbc sentence libtard biasedmedia neverhillary,joy,joy
laughter actually anxiety,joy,joy
animate week,joy,joy
chirp,joy,joy
n o   t e x t,anger,joy
n o   t e x t,anger,joy
break tear,sadness,joy
movie animate late call shame jungle john bulushi wild taste,joy,joy
floor do last curtain try sound happy cheery really,joy,joy
water,joy,joy
echo laughter light memory home cold wait amwriting nostalgia,joy,joy
go away want hurt change heart mind really option,sadness,joy
sparkle water instead soft drink steer clear fructose still get refresh carbonation kick,joy,joy
hssu stop walk phone smile wave smile wave back,joy,joy
etep patient advocate drug work anyone listen etep adcomm elate,joy,joy
cause simultaneously super subsidise tax,sadness,joy
describe temperament steady buoyant side,joy,joy
cheerfulness extremely obnoxious aldub ndweeksary,joy,joy
robocoq shortfilms,joy,joy
say paedeezy badd wicked bright city light,joy,joy
drink sparkle water,joy,joy
text,joy,joy
make sexually attack animate bear,joy,joy
nice click pause pause window inactive animate gifs macos message,joy,joy
scottinsc look like book shape like itsagunalright,sadness,joy
cricket chirp walk past shut fuck dritadavanzo idol,joy,joy
blaiming everything bush act gleeful endorsement election trump,joy,joy
step biweekly community meet hearty meal flake,joy,joy
cease noise jubilant stop joyful lyre cease isaiah,joy,joy
want harley quinn blake lively layout,joy,joy
heart right satan rejoice another,joy,joy
rwanda work lose relative genocide peacebuilding give optimism within power,joy,joy
look realdonaldtrump face criminal king use word denigrate black,sadness,joy
obvious tear think cheerful self,joy,joy
want gaudreau come back piece get risky,joy,joy
season bright spot allow smart kind fashionable,joy,joy
get ta attitude cheer,joy,joy
note good night shit head,sadness,joy
nill reservation support minimize fee bright pmoindia,joy,joy
optimism year good buckshotbandit dapostrophearcy,joy,joy
distract levity pampa proper dingle carry away uudqujcia,joy,joy
like know source president optimism run country wonder answer curiosity,joy,joy
cokie hearty exactment blame online hephxho,joy,joy
dont feel rejoice itnis always coltsnation even string play,joy,joy
challenge potus give hearty thank release return,joy,joy
pakistan afghanistan need cheery news frybread stand everyone medium grim,joy,joy
take leave cover girl werent even friend,sadness,joy
cheer terrible,joy,joy
worst ever felt even pas still joyous occasion,joy,joy
shut serious,sadness,joy
shoot mode iphone plus go frustrate time delight time,sadness,joy
world single person tell give waist hearty hand pinch onstage,joy,joy
tell expect anxiety generally cheerful expect,sadness,joy
abuse troop afghanistan iraq data suggest buoyant post brexit economy make front page,joy,joy
jovial emotional bring tear felt ishqbaaz,joy,joy
imagine stupid try chirp racist prick,sadness,joy
dumb world rise tint glass,joy,joy
terribledebatequestions,joy,joy
others hell please,joy,joy
take spry young child,joy,joy
love,joy,joy
character gleeful enough,joy,joy
night watch ball animate bounce minute figure wrong,joy,joy
grow reality people desgusting fake lose cheerfulness start,joy,joy
mistake sparkle ribena normal ribena,sadness,joy
quite sadden date joyous anticipation attend concert since happy keep busy,sadness,joy
worst purpose,sadness,joy
anything concern happy frustrate take long answer,sadness,joy
think rohan last week,sadness,joy
glee,joy,joy
month wive home could worse know could oilandgas,sadness,joy
water death,joy,joy
chirp sleep jetlag,joy,joy
something want give elate start conversation,joy,joy
sparkle candle like cake ruin everything,sadness,joy
defend group unchecked arm thug show history racism violence lie,sadness,joy
shitty reinforce never give something fuck awful still stand chance optimism,sadness,joy
cooney annoy good love fan onision include really annoy people cheerful,sadness,joy
king publicly tell crowd need always nigger fucktrump,joy,joy
normy hump recent high profile celebrity break pathetic wrong world today,sadness,joy
shred optimism rapidly disappear however,joy,joy
oscillation jovial,joy,joy
policy goofy secretary state john kerry devil care pose jaunty blue scarf,sadness,joy
fuck outside,joy,joy
hair make,joy,joy
text,joy,joy
shitty reinforce never give something fuck awful still stand chance,sadness,joy
frivolity levity italian priest stupefy roland bainton luther reformationday,joy,joy
senator cheer cease fire hold people cheer genocide support good,joy,joy
sick grumpy thing gon na cheer order xmas food go,joy,joy
liveliness make bore,joy,joy
hair make glee,joy,joy
like wan na happy,joy,joy
sport team completely outside jersey piss,joy,joy
someone death,joy,joy
depression,sadness,sadness
always depression,sadness,sadness
always,joy,sadness
lately good mental state feel overwhelm anxiety bipolar depression,sadness,sadness
life hit hard,sadness,sadness
fail confuse lose,sadness,sadness
n o   t e x t,anger,sadness
depress,sadness,sadness
worst feel really sick still shake sleep anxiety depression,fear,sadness
ugly,joy,sadness
kick lately,sadness,sadness
eye perspective depression healingjustice,sadness,sadness
depress lonely,sadness,sadness
good,joy,sadness
win depression help,sadness,sadness
depress,sadness,sadness
black body another pop brutality,joy,sadness
text,joy,sadness
sadden terrible,sadness,sadness
ibiza body desk work depress,sadness,sadness
n o   t e x t,anger,sadness
n o   t e x t,anger,sadness
connectivity tmobile service pay unhappy poorservice,sadness,sadness
ever,sadness,sadness
place head quote worstenemy depression thinktoomuch,sadness,sadness
cleveland go unhappy,sadness,sadness
harvey cage belong final goodbye little depress,sadness,sadness
depression,sadness,sadness
plaster smile face depression,sadness,sadness
outside always get depress mood,sadness,sadness
thing work quite damper go wear pajama,sadness,sadness
ring depression,sadness,sadness
battle situation say handle march year unacceptable unhappy,sadness,sadness
sure depress talk parent phone instead talk downstairs,sadness,sadness
blue cure need idea sorethroat sick blue music fallweather carletonuniversity ottawa,sadness,sadness
depression even worst people anxiety depression,sadness,sadness
twitter depress,sadness,sadness
trump voter right fuck terrify redstate despair,fear,sadness
tomorrow mourn death,sadness,sadness
make think vols game see never see depression,sadness,sadness
offer voucher ask could spend weekend tell valid today unhappy,sadness,sadness
solid major look average program feel even discourage,sadness,sadness
text,joy,sadness
heart nyet near nthe year ntough scar nthis lonesome nroad nstill fear depression poetry poem,sadness,sadness
end today sadness,sadness,sadness
come back minimally effective student test score parcc sink eval time quit teach,sadness,sadness
still hard awful depression anxiety atleastihavebuffy,sadness,sadness
think try thousand time already help,joy,sadness
depress,sadness,sadness
cover know cover mentalhealth psychology depression,sadness,sadness
despair meetingmyabuserincourt dvsurvivor,sadness,sadness
fresh despondent,joy,sadness
wait year go loose govuk thank unhappy,sadness,sadness
medium place laugh jump shit depress,sadness,sadness
depress,sadness,sadness
day,joy,sadness
match mood state today gloomy,sadness,sadness
loathe attitude mope talk,sadness,sadness
tomorrow continue mourn live recent victim police brutality blackout,sadness,sadness
